ID,gemma_pred,qwen_pred,xone_pred,kanana_pred,label
FOLD0_00000,1.0,1.0,1.0,1.0,1
FOLD0_00001,0.28710938,0.23535156,0.28320312,0.3203125,0
FOLD0_00002,1.0,1.0,1.0,1.0,1
FOLD0_00003,0.28515625,0.41796875,0.2890625,0.3125,1
FOLD0_00004,0.31445312,0.33789062,0.296875,0.25390625,0
FOLD0_00005,0.34570312,0.34765625,0.34375,0.36523438,0
FOLD0_00006,0.55078125,0.4140625,0.828125,0.859375,1
FOLD0_00007,0.29101562,0.30664062,0.31445312,0.26953125,0
FOLD0_00008,0.30078125,0.25,0.30078125,0.43359375,0
FOLD0_00009,1.0,1.0,1.0,1.0,1
FOLD0_00010,0.7109375,0.7890625,0.35546875,0.5,1
FOLD0_00011,0.32421875,0.30078125,0.25585938,0.31445312,0
FOLD0_00012,1.0,0.98046875,1.0,1.0,1
FOLD0_00013,0.3046875,0.234375,0.32226562,0.25195312,0
FOLD0_00014,0.21972656,0.28710938,0.28125,0.27734375,0
FOLD0_00015,0.29296875,0.328125,0.30273438,0.34960938,0
FOLD0_00016,0.29101562,0.29492188,0.29492188,0.27734375,0
FOLD0_00017,1.0,1.0,1.0,1.0,1
FOLD0_00018,0.8984375,0.94921875,0.98828125,0.6484375,1
FOLD0_00019,0.94921875,0.96875,0.83203125,0.77734375,1
FOLD0_00020,1.0,1.0,1.0,1.0,1
FOLD0_00021,0.3203125,0.25585938,0.31835938,0.28320312,0
FOLD0_00022,0.29492188,0.35742188,0.30664062,0.28515625,0
FOLD0_00023,0.26367188,0.2421875,0.3046875,0.31835938,0
FOLD0_00024,0.33203125,0.37695312,0.47070312,0.47851562,1
FOLD0_00025,0.47265625,0.45898438,0.4609375,0.32617188,0
FOLD0_00026,0.22558594,0.25976562,0.30078125,0.3125,0
FOLD0_00027,0.26953125,0.32617188,0.24902344,0.32226562,0
FOLD0_00028,1.0,0.99609375,1.0,1.0,1
FOLD0_00029,1.0,1.0,1.0,1.0,1
FOLD0_00030,0.28125,0.37109375,0.3125,0.30078125,0
FOLD0_00031,0.99609375,0.99609375,0.9375,0.9609375,1
FOLD0_00032,0.32421875,0.3515625,0.3515625,0.28320312,0
FOLD0_00033,0.1015625,0.32421875,0.19042969,0.61328125,0
FOLD0_00034,0.9765625,0.99609375,0.9453125,0.99609375,1
FOLD0_00035,0.40820312,0.33398438,0.45507812,0.33984375,1
FOLD0_00036,0.98828125,0.9453125,0.91796875,0.91015625,1
FOLD0_00037,0.33789062,0.41601562,0.41015625,0.32421875,1
FOLD0_00038,0.27539062,0.2734375,0.30078125,0.24609375,1
FOLD0_00039,0.453125,0.5078125,0.38085938,0.78515625,0
FOLD0_00040,0.28710938,0.32226562,0.31835938,0.3125,0
FOLD0_00041,0.359375,0.32617188,0.40039062,0.3046875,1
FOLD0_00042,0.27539062,0.36328125,0.33398438,0.34765625,0
FOLD0_00043,0.31835938,0.23339844,0.359375,0.32226562,1
FOLD0_00044,0.28710938,0.25390625,0.30078125,0.20898438,0
FOLD0_00045,0.46484375,0.6875,0.484375,0.49023438,0
FOLD0_00046,1.0,1.0,1.0,1.0,1
FOLD0_00047,0.25976562,0.26757812,0.25390625,0.27148438,0
FOLD0_00048,0.33203125,0.3125,0.33398438,0.24511719,1
FOLD0_00049,0.95703125,0.7421875,0.36328125,0.65234375,1
FOLD0_00050,0.28125,0.33789062,0.36328125,0.28125,0
FOLD0_00051,0.33398438,0.27734375,0.28320312,0.29882812,0
FOLD0_00052,0.35546875,0.39648438,0.29296875,0.29492188,0
FOLD0_00053,0.42578125,0.42382812,0.39648438,0.29882812,1
FOLD0_00054,0.9921875,0.99609375,0.99609375,0.96484375,1
FOLD0_00055,0.26953125,0.2578125,0.29492188,0.29101562,0
FOLD0_00056,0.4609375,0.41015625,0.41992188,0.44140625,0
FOLD0_00057,0.31054688,0.31054688,0.33398438,0.375,0
FOLD0_00058,0.41796875,0.3125,0.46484375,0.359375,0
FOLD0_00059,0.38867188,0.33984375,0.25976562,0.32226562,1
FOLD0_00060,0.31054688,0.453125,0.4921875,0.41210938,1
FOLD0_00061,0.23828125,0.32421875,0.28125,0.32421875,0
FOLD0_00062,1.0,1.0,1.0,1.0,1
FOLD0_00063,1.0,1.0,1.0,1.0,1
FOLD0_00064,0.296875,0.32226562,0.33398438,0.33984375,1
FOLD0_00065,0.40039062,0.4140625,0.3515625,0.296875,0
FOLD0_00066,0.19824219,0.30859375,0.29101562,0.29101562,1
FOLD0_00067,0.27539062,0.2265625,0.28125,0.32617188,0
FOLD0_00068,0.24902344,0.29882812,0.2890625,0.27148438,0
FOLD0_00069,0.26953125,0.29296875,0.24707031,0.29101562,1
FOLD0_00070,1.0,1.0,1.0,1.0,1
FOLD0_00071,0.26757812,0.22167969,0.26757812,0.2578125,0
FOLD0_00072,1.0,1.0,1.0,1.0,1
FOLD0_00073,0.1875,0.3046875,0.14257812,0.22558594,0
FOLD0_00074,1.0,1.0,1.0,1.0,1
FOLD0_00075,0.44140625,0.35351562,0.45507812,0.42578125,0
FOLD0_00076,0.31054688,0.34375,0.671875,0.31445312,0
FOLD0_00077,0.27734375,0.33398438,0.30078125,0.3125,0
FOLD0_00078,0.31445312,0.3125,0.31054688,0.30078125,1
FOLD0_00079,0.26953125,0.2734375,0.27929688,0.24511719,0
FOLD0_00080,0.86328125,0.47460938,0.99609375,0.96484375,1
FOLD0_00081,0.27539062,0.34765625,0.3125,0.32421875,0
FOLD0_00082,1.0,1.0,1.0,1.0,1
FOLD0_00083,0.3046875,0.35351562,0.33398438,0.34375,0
FOLD0_00084,0.38085938,0.37304688,0.3671875,0.33984375,0
FOLD0_00085,0.33789062,0.28710938,0.34375,0.31445312,1
FOLD0_00086,0.49609375,0.48046875,0.54296875,0.4140625,1
FOLD0_00087,0.33203125,0.328125,0.30859375,0.34765625,0
FOLD0_00088,0.33203125,0.32421875,0.31835938,0.30859375,0
FOLD0_00089,0.34179688,0.32617188,0.33203125,0.29492188,0
FOLD0_00090,0.421875,0.91796875,0.5546875,0.32421875,0
FOLD0_00091,0.37304688,0.32617188,0.39257812,0.34960938,1
FOLD0_00092,0.3671875,0.38085938,0.3046875,0.31445312,1
FOLD0_00093,1.0,1.0,1.0,1.0,1
FOLD0_00094,1.0,1.0,1.0,1.0,1
FOLD0_00095,0.359375,0.41796875,0.32617188,0.3359375,0
FOLD0_00096,0.30859375,0.31835938,0.3125,0.328125,1
FOLD0_00097,0.31054688,0.25390625,0.26757812,0.29882812,0
FOLD0_00098,0.34179688,0.26953125,0.30664062,0.30664062,1
FOLD0_00099,0.35546875,0.91796875,0.37695312,0.34179688,1
FOLD0_00100,0.26953125,0.33398438,0.30859375,0.24511719,1
FOLD0_00101,0.34570312,0.37304688,0.33789062,0.28125,0
FOLD0_00102,0.3046875,0.23730469,0.31054688,0.27148438,1
FOLD0_00103,1.0,1.0,1.0,1.0,1
FOLD0_00104,1.0,1.0,1.0,1.0,1
FOLD0_00105,0.36328125,0.23632812,0.30078125,0.37890625,0
FOLD0_00106,1.0,1.0,1.0,1.0,1
FOLD0_00107,0.296875,0.390625,0.31640625,0.29882812,0
FOLD0_00108,0.34179688,0.37109375,0.3359375,0.296875,0
FOLD0_00109,0.3046875,0.359375,0.31054688,0.29296875,1
FOLD0_00110,0.3515625,0.34179688,0.50390625,0.4296875,0
FOLD0_00111,1.0,1.0,1.0,1.0,1
FOLD0_00112,0.31445312,0.26757812,0.32421875,0.29882812,0
FOLD0_00113,0.3515625,0.2890625,0.30664062,0.31054688,1
FOLD0_00114,1.0,1.0,1.0,1.0,1
FOLD0_00115,0.6875,0.47460938,0.75,0.91015625,1
FOLD0_00116,0.24511719,0.22558594,0.22851562,0.31445312,0
FOLD0_00117,0.33789062,0.33007812,0.32617188,0.30859375,0
FOLD0_00118,1.0,1.0,1.0,1.0,1
FOLD0_00119,0.33203125,0.35742188,0.29492188,0.28125,0
FOLD0_00120,0.26953125,0.41601562,0.32226562,0.33203125,0
FOLD0_00121,0.29101562,0.27734375,0.2734375,0.23242188,0
FOLD0_00122,0.9765625,0.9921875,0.99609375,0.80859375,0
FOLD0_00123,0.34570312,0.34765625,0.34960938,0.29101562,1
FOLD0_00124,0.53125,0.2734375,0.84765625,0.5625,0
FOLD0_00125,0.34570312,0.34960938,0.32421875,0.33007812,0
FOLD0_00126,0.33203125,0.36914062,0.3671875,0.3125,0
FOLD0_00127,0.3515625,0.52734375,0.68359375,0.34179688,0
